date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:18	63/63	---M--	200	added ('OK')	text/plain	date:Wed,%2031%20May%202017%2012:44:24%20GMT	https://www.sigmato.com/robots.txt		(from )
13:37:18	63580/63580	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:18%20GMT	https://www.sigmato.com/	C:/My%20Web%20Sites/test/www.sigmato.com/index.html	(from )
13:37:18	235/235	---M--	302	error ('Found')	text/html	date:Wed,%2012%20Jan%202022%2008:07:18%20GMT	http://sigmato.com/images/sigmato-logo-new.png	C:/My%20Web%20Sites/test/sigmato.com/images/sigmato-logo-new.0.delayed	(from https://www.sigmato.com/)
13:37:19	14762/14762	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Sep%202021%2006:16:39%20GMT	https://www.sigmato.com/images/sigmato-logo-new.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/sigmato-logo-new.png	(from https://www.sigmato.com/)
13:37:19	140942/140942	---M--	200	added ('OK')	text/css	date:Sat,%2006%20Apr%202019%2017:17:54%20GMT	https://www.sigmato.com/css/bootstrap4.min.css	C:/My%20Web%20Sites/test/www.sigmato.com/css/bootstrap4.min.css	(from https://www.sigmato.com/)
13:37:19	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/test/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://www.sigmato.com/)
13:37:19	1139/1139	---M--	200	added ('OK')	image/x-icon	date:Sat,%2007%20Jan%202017%2007:21:36%20GMT	https://www.sigmato.com/favicon.ico	C:/My%20Web%20Sites/test/www.sigmato.com/favicon.ico	(from https://www.sigmato.com/)
13:37:20	3744/3744	---M--	200	added ('OK')	text/css	date:Wed,%2031%20May%202017%2012:49:07%20GMT	https://www.sigmato.com/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/test/www.sigmato.com/css/jquery.fancybox.min.css	(from https://www.sigmato.com/)
13:37:20	71607/71607	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Oct%202021%2009:29:12%20GMT	https://www.sigmato.com/css/theme.css?v=7	C:/My%20Web%20Sites/test/www.sigmato.com/css/themebea6.css	(from https://www.sigmato.com/)
13:37:20	36729/36729	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:20%20GMT	https://www.sigmato.com/about.php	C:/My%20Web%20Sites/test/www.sigmato.com/about.html	(from https://www.sigmato.com/)
13:37:20	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Jan%202022%2008:07:20%20GMT	https://www.sigmato.com/blog	C:/My%20Web%20Sites/test/www.sigmato.com/blog	(from https://www.sigmato.com/)
13:37:21	63580/63580	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:21%20GMT	https://www.sigmato.com/index.php	C:/My%20Web%20Sites/test/www.sigmato.com/index-2.html	(from https://www.sigmato.com/)
13:37:22	28786/28786	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:21%20GMT	https://www.sigmato.com/design-and-user-experiences.php	C:/My%20Web%20Sites/test/www.sigmato.com/design-and-user-experiences.html	(from https://www.sigmato.com/)
13:37:22	25190/25190	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:22%20GMT	https://www.sigmato.com/ui-ux-design.php	C:/My%20Web%20Sites/test/www.sigmato.com/ui-ux-design.html	(from https://www.sigmato.com/)
13:37:22	15924/15924	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:03:24%20GMT	https://www.sigmato.com/images/icons/vector.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/vector.png	(from https://www.sigmato.com/)
13:37:22	60091/60091	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:22%20GMT	https://www.sigmato.com/webdesigning.php	C:/My%20Web%20Sites/test/www.sigmato.com/webdesigning.html	(from https://www.sigmato.com/)
13:37:22	11138/11138	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:19:55%20GMT	https://www.sigmato.com/images/icons/website.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/website.png	(from https://www.sigmato.com/)
13:37:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Jan%202022%2008:07:21%20GMT	https://www.sigmato.com/blog/	C:/My%20Web%20Sites/test/www.sigmato.com/blog/index.html	(from https://www.sigmato.com/)
13:37:23	23953/23953	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:23%20GMT	https://www.sigmato.com/branding-graphic-design.php	C:/My%20Web%20Sites/test/www.sigmato.com/branding-graphic-design.html	(from https://www.sigmato.com/)
13:37:23	12212/12212	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:16:49%20GMT	https://www.sigmato.com/images/icons/color.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/color.png	(from https://www.sigmato.com/)
13:37:24	24368/24368	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:23%20GMT	https://www.sigmato.com/packaging-design.php	C:/My%20Web%20Sites/test/www.sigmato.com/packaging-design.html	(from https://www.sigmato.com/)
13:37:24	9284/9284	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:25:41%20GMT	https://www.sigmato.com/images/icons/coffee.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/coffee.png	(from https://www.sigmato.com/)
13:37:24	23938/23938	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:24%20GMT	https://www.sigmato.com/prototyping.php	C:/My%20Web%20Sites/test/www.sigmato.com/prototyping.html	(from https://www.sigmato.com/)
13:37:24	11840/11840	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:05:14%20GMT	https://www.sigmato.com/images/icons/plant-pot.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/plant-pot.png	(from https://www.sigmato.com/)
13:37:25	23940/23940	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:25%20GMT	https://www.sigmato.com/product-design.php	C:/My%20Web%20Sites/test/www.sigmato.com/product-design.html	(from https://www.sigmato.com/)
13:37:25	15368/15368	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:06:37%20GMT	https://www.sigmato.com/images/icons/font.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/font.png	(from https://www.sigmato.com/)
13:37:26	25200/25200	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:25%20GMT	https://www.sigmato.com/adobexd-gigma-designs.php	C:/My%20Web%20Sites/test/www.sigmato.com/adobexd-gigma-designs.html	(from https://www.sigmato.com/)
13:37:26	8946/8946	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:05:17%20GMT	https://www.sigmato.com/images/icons/design.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/design.png	(from https://www.sigmato.com/)
13:37:26	23946/23946	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:26%20GMT	https://www.sigmato.com/communication-designs.php	C:/My%20Web%20Sites/test/www.sigmato.com/communication-designs.html	(from https://www.sigmato.com/)
13:37:27	9724/9724	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:21:56%20GMT	https://www.sigmato.com/images/icons/align.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/align.png	(from https://www.sigmato.com/)
13:37:27	23940/23940	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:27%20GMT	https://www.sigmato.com/brand-strategy.php	C:/My%20Web%20Sites/test/www.sigmato.com/brand-strategy.html	(from https://www.sigmato.com/)
13:37:28	15683/15683	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Apr%202021%2019:23:19%20GMT	https://www.sigmato.com/images/icons/arrows.png	C:/My%20Web%20Sites/test/www.sigmato.com/images/icons/arrows.png	(from https://www.sigmato.com/)
13:37:28	28912/28912	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Jan%202022%2008:07:28%20GMT	https://www.sigmato.com/digital_strategy_and_marketing.php	C:/My%20Web%20Sites/test/www.sigmato.com/digital_strategy_and_marketing.html	(from https://www.sigmato.com/)
